"Category","Keywords"
"Backup Administrator","backup,veeam,commvault,veritas,azure backup,aws backup,recovery,rto,rpo,testing,tape,deduplication,replication"
"Endpoint Management","endpoint management,sccm,intune,jamf,windows,macos,patch management,software deployment,mdm,compliance,security"
"Identity Management","identity management,active directory,azure ad,okta,ping identity,sailpoint,sso,saml,ldap,provisioning,access review"
"Collaboration Engineer","microsoft teams,slack,zoom,sharepoint,confluence,exchange,o365,google workspace,audio visual,video conferencing"
"Supply Chain Director","supply chain,logistics,operations,strategy,vendor management,erp,sap,kpi,budget,team leadership,global,sourcing"
"Inventory Control Manager","inventory control,cycle counting,erp,sap,oracle,wms,abc analysis,kpi,shrinkage,accuracy,demand planning"
"Demand Planner","demand planning,s&op,statistical forecasting,erp,sap,oracle,demantra,apics,excel,collaboration,kpi,accuracy"
"Sourcing Manager","strategic sourcing,procurement,rfq,rfp,vendor selection,negotiation,contract,total cost of ownership,tco,sap ariba,spend"
"Import Export Manager","import,export,customs,incoterms,letter of credit,compliance,hs codes,cbp,trade compliance,freight,logistics"
"3PL Manager","3pl,third party logistics,warehouse,distribution,transportation,kpi,sla,vendor management,wms,erp,tms,contract"
"Last Mile Delivery Manager","last mile,delivery,routes,fleet,tracking,customer experience,kpi,returns,sla,technology,ops,cost"
"Cold Chain Manager","cold chain,temperature controlled,pharma logistics,food safety,refrigerated,gdp,gmp,validation,monitoring,compliance"
"Reverse Logistics Manager","reverse logistics,returns,refurbishment,recycling,disposal,erp,kpi,vendor,compliance,sustainability,cost"
"Shipping Coordinator","shipping,freight,carrier,tracking,documentation,customs,incoterms,erp,excel,coordination,customer service"
"Hotel General Manager","hotel management,revenue management,operations,food beverage,housekeeping,front office,budget,staffing,guest satisfaction"
"Revenue Manager","revenue management,hotel,pricing,distribution,ota,booking.com,expedia,pms,channel manager,str,revpar,adr,occupancy"
"Food Beverage Director","food beverage,restaurant management,catering,banquet,menu,cost control,staffing,beverage,inventory,haccp,guest satisfaction"
"Front Desk Manager","front desk,hotel,reservations,pms,opera,guest relations,check-in,check-out,upselling,complaints,training"
"Housekeeping Manager","housekeeping,rooms,cleanliness,inspection,staff management,scheduling,linen,laundry,safety,cost control,pms"
"Catering Manager","catering,events,banquet,menu planning,food safety,haccp,staffing,budgeting,client relations,venue,coordination"
"Spa Manager","spa,wellness,treatments,scheduling,retail,revenue,staffing,training,client experience,cleanliness,budget,beauty"
"Concierge","concierge,guest services,recommendations,reservations,hotel,local knowledge,transportation,vip,customer service,itinerary"
"Hotel Sales Manager","hotel sales,corporate accounts,group sales,rfp,negotiation,revenue,crm,site visits,prospecting,meeting planner,events"
"Wellness Director","wellness,employee wellness,programs,mental health,fitness,nutrition,stress management,biometrics,benefits,roi,engagement"
"Health Coach","health coaching,nutrition,fitness,behavior change,goal setting,motivational interviewing,client assessment,program design"
"Nutritionist","nutrition,clinical nutrition,diet,meal planning,counseling,supplements,eating disorders,diabetes,weight management,rnc"
"Group Fitness Instructor","group fitness,aerobics,spinning,zumba,hiit,strength training,yoga,pilates,certification,class planning,cueing"
"Pilates Instructor","pilates,mat,reformer,cadillac,chair,anatomy,alignment,cueing,modifications,rehabilitation,certification,private"
"Swim Coach","swimming,technique,program design,drills,race strategy,periodization,video analysis,youth,competitive,certification,asa"
"Strength Conditioning Coach","strength conditioning,cscs,program design,periodization,olympic lifting,squat,deadlift,bench,monitoring,athlete management"
"Sports Nutritionist","sports nutrition,performance,energy systems,macros,hydration,supplementation,body composition,athlete,periodization"
"TikTok Content Creator","tiktok,short form video,trending sounds,content strategy,editing,viral,engagement,audience growth,brand deals,ugc"
"Instagram Manager","instagram,reels,stories,feed,content creation,canva,hashtag strategy,engagement,influencer,analytics,scheduling"
"YouTube Creator","youtube,video production,premiere pro,seo,thumbnails,analytics,monetization,audience retention,community,sponsorship"
"LinkedIn Marketing Specialist","linkedin,b2b,content strategy,company page,employee advocacy,ads,lead gen forms,analytics,thought leadership"
"Discord Community Manager","discord,community management,moderation,bots,server setup,engagement,events,web3,gaming,nft,member growth"
"Newsletter Writer","newsletter,email,substack,beehiiv,mailchimp,writing,audience growth,sponsorship,open rate,click rate,retention"
"Meme Creator","content creation,social media,humor,photoshop,canva,engagement,viral,brand,tiktok,instagram,twitter,culture"
"Brand Storyteller","storytelling,brand narrative,content strategy,writing,video,social media,campaign,customer stories,thought leadership"
"Event Coordinator","event coordination,planning,logistics,vendor management,budget,registration,venue,av,catering,timeline,post event"
"Conference Producer","conference,event production,programming,speakers,sponsors,registration,marketing,logistics,venue,av,budget"
"Exhibition Manager","exhibition,trade show,booth,logistics,shipping,setup,breakdown,budget,vendor,marketing,lead generation,crm"
"Experiential Marketing Manager","experiential marketing,brand activation,events,pop up,immersive,consumer engagement,social amplification,roi"
"Wedding Planner","wedding planning,vendors,budget,timelines,coordination,florals,catering,venue,decor,day of coordination,client management"
"Corporate Event Manager","corporate events,meetings,incentives,conferences,exhibitions,mice,venue,catering,budget,logistics,av,registration"
"Cosmetic Chemist","cosmetic chemistry,formulation,skincare,haircare,stability,safety,regulatory,fda,eu cosmetics,claims,testing,ingredients"
"Esthetician","esthetics,skincare,facials,waxing,chemical peels,microdermabrasion,client consultation,retail,product knowledge,license"
"Hairstylist","hair,cutting,coloring,styling,client consultation,retail,wella,loreal,redken,balayage,highlights,keratin,license"
"Makeup Artist","makeup,artistry,bridal,editorial,film,television,sfx,airbrush,client consultation,color theory,products,hygiene"
"Beauty Brand Manager","beauty,brand management,product development,marketing,retail,e-commerce,trend,consumer insights,p&l,innovation"
"Nail Technician","nail technician,manicure,pedicure,acrylic,gel,nail art,client service,sanitation,license,retail,booking"
"Veterinarian","veterinary,dvm,diagnosis,treatment,surgery,anesthesia,emergency,radiology,laboratory,pharmacology,patient records"
"Veterinary Surgeon","veterinary surgery,soft tissue,orthopedic,minimally invasive,anesthesia,post operative,specialty,referral,imaging"
"Zoo Veterinarian","zoo medicine,exotic,wildlife,capture,immobilization,diagnostics,research,conservation,husbandry,record keeping"
"Equine Veterinarian","equine,horse,lameness,reproduction,dentistry,diagnostic imaging,emergency,sport horse,ambulatory,surgery,farm visits"
"Veterinary Radiologist","veterinary radiology,x-ray,ct,mri,ultrasound,fluoroscopy,interpretation,telemedicine,pacs,arrt,board certified"
"Librarian","library science,cataloging,classification,marc,collection development,reference services,database searching,information literacy"
"Research Librarian","research support,subject librarianship,literature review,databases,citation management,zotero,endnote,scholarly communication"
"Archivists","archives,preservation,digitization,finding aids,provenance,arrangement,description,metadata,ead,dams,collection management"
"Digital Librarian","digital library,institutional repository,digital preservation,metadata,dublincore,marc,oai-pmh,dspace,islandora"
"School Librarian","school library,information literacy,reading promotion,collection development,technology integration,collaboration,curriculum"
"Translator","translation,localization,cat tools,trados,memoq,terminology,translation memory,quality assurance,proofreading,target language"
"Interpreter","interpretation,consecutive,simultaneous,conference,court,medical,legal,language access,remote interpreting,certification"
"Localization Manager","localization,l10n,internationalization,i18n,translation,cat tools,trados,project management,vendors,quality,budget"
"Language Teacher","language teaching,esl,tesol,tefl,curriculum,lesson planning,assessment,student engagement,grammar,pronunciation,fluency"
"Fashion Stylist","fashion styling,editorial,commercial,celebrity,wardrobe,shopping,trends,brand,lookbook,shoots,fashion week,collaboration"
"Fashion Buyer","fashion buying,merchandise planning,trend analysis,vendor management,purchasing,open to buy,margin,retail,seasonal"
"Textile Designer","textile design,pattern design,print,color,weave,knit,cad,adobe illustrator,photoshop,surface design,manufacturing"
"Costume Designer","costume design,theatre,film,television,research,sketching,construction,wardrobe,period,collaboration,budget,fittings"
"Retail Visual Merchandiser","visual merchandising,retail,display,planogram,window display,brand,styling,props,trend,store layout,photography"
"Historic Preservation Specialist","historic preservation,survey,national register,section 106,habs,architectural history,documentation,restoration"
"Green Building Consultant","green building,leed,well,passive house,energy modeling,sustainability,carbon,materials,certification,design review"
"Real Estate Development Analyst","real estate development,pro forma,financial modeling,npv,irr,land acquisition,zoning,entitlement,market analysis"
"Code Compliance Inspector","building code,ibc,irc,fire code,accessibility,ada,permit,inspection,compliance,plan review,documentation"
"Facilities Planner","facilities planning,space planning,programming,bim,revit,autocad,workplace,move management,cad,reporting,inventory"
"Media Buyer","media buying,programmatic,display,video,social,search,tv,radio,out of home,negotiation,trafficking,campaign management"
"Media Planner","media planning,strategy,audience,channels,budget,reach,frequency,grp,trp,targeting,analytics,campaign"
"Programmatic Trader","programmatic,dsp,ssp,rtb,dmp,audience targeting,bid management,campaign optimization,analytics,attribution"
"Paid Social Specialist","facebook ads,meta ads,instagram,tiktok,linkedin,twitter,snapchat,paid social,creative,audience,optimization,roas"
"Out of Home Planner","out of home,ooh,dooh,digital billboard,transit,placement,targeting,impressions,market,negotiation,trafficking"
"Case Manager","case management,care coordination,discharge planning,insurance,authorization,utilization review,ehr,documentation"
"Clinical Coordinator","clinical coordination,scheduling,patient flow,ehr,documentation,quality,compliance,staff coordination,reporting"
"Patient Advocate","patient advocacy,navigation,insurance,appeals,billing,compliance,communication,hipaa,resources,education,support"
"Health Education Specialist","health education,program development,community health,health promotion,behavioral change,training,assessment,ches"
"Infection Control Nurse","infection control,prevention,surveillance,hai,cdc,joint commission,isolation,sterilization,audits,education,policy"
"Nurse Educator","nursing education,curriculum,clinical,simulation,accreditation,evaluation,evidence based,staff development,cnor"
"Risk Manager Healthcare","healthcare risk management,patient safety,incident reporting,root cause analysis,fmea,insurance,compliance,regulatory"
"Healthcare Administrator","healthcare administration,operations,budget,compliance,regulatory,staff management,strategy,quality,patient satisfaction"
"Medical Affairs Manager","medical affairs,medical science liaison,msl,key opinion leader,kol,clinical data,publications,congress,advisory board"
"Health Policy Analyst","health policy,aca,medicare,medicaid,cms,reimbursement,regulatory,research,legislation,analysis,stakeholder"
"Dental Office Manager","dental office management,scheduling,billing,insurance,collections,staffing,compliance,hipaa,patient relations,practice management"
"Dental Hygienist","dental hygiene,prophylaxis,scaling,root planing,radiograph,patient education,periodontal,documentation,rdh,license"
"Prosthodontist","prosthodontics,dentures,implants,crowns,bridges,occlusion,aesthetics,full mouth rehabilitation,digital dentistry"
"Endodontist","endodontics,root canal,cbct,microsurgery,retreatment,post,crown,pain management,diagnosis,imaging"
"Periodontist","periodontics,gum disease,scaling,root planing,osseous surgery,implants,grafting,laser,maintenance,diagnosis"
"Reliability Centered Maintenance Engineer","rcm,fmea,fmeca,maintenance strategy,failure analysis,predictive maintenance,vibration analysis,thermography,reliability"
"Safety Engineer","safety engineering,hazop,pha,fmea,fault tree,risk assessment,osha,iso 45001,process safety,atex,iec 61508"
"Automation Controls Engineer","automation,plc,scada,hmi,allen bradley,siemens,rockwell,ladder logic,function block,iec 61131,robotics,vision"
"Instrumentation Controls Engineer","instrumentation,control systems,pid,dcs,plc,field instruments,calibration,loop tuning,p&id,isds,safety"
"Validation Engineer","validation,iq,oq,pq,gmp,fda,csv,computer system validation,protocol,report,change control,pharmaceutical"
"Metrology Engineer","metrology,measurement,calibration,cmm,gd&t,tolerance,uncertainty,iso 17025,nist,standards,dimensional inspection"
"Failure Analysis Engineer","failure analysis,root cause,metallurgy,sem,tem,eds,optical microscopy,fractography,corrosion,fatigue,report writing"
"NVH Engineer","nvh,noise vibration harshness,acoustic,vibration,fft,matlab,ansys,modal analysis,damping,measurement,ota,vehicle"
"Calibration Technician","calibration,instruments,measurement,iso 17025,traceable,uncertainty,certificate,laboratory,standards,quality"
"Viticulturist","viticulture,winery,vineyard,grapevine,soil,irrigation,disease,harvest,wine quality,sustainability,precision viticulture"
"Horticulturist","horticulture,plant science,propagation,irrigation,pest management,landscape,greenhouse,soil,crop production,sustainability"
"Soil Scientist","soil science,soil survey,field sampling,laboratory,gis,mapping,soil health,carbon,remediation,fertility,usda,nrcs"
"Animal Nutritionist","animal nutrition,feed formulation,livestock,poultry,ruminant,swine,ration balancing,supplements,research,regulatory"
"Crop Consultant","agronomy,crop scouting,pest management,weed control,fertility,yield,soil sampling,precision agriculture,gis,recommendations"
"Food Quality Manager","food quality,haccp,iso 22000,gmp,spc,sensory,laboratory,food safety,audit,supplier,regulatory,shelf life"
"Brewing Scientist","brewing,fermentation,yeast,hops,malt,analytical chemistry,quality control,sensory,process optimization,gmp,haccp"
"ESG Analyst","esg,environmental social governance,sustainability reporting,gri,sasb,tcfd,carbon footprint,climate risk,supply chain"
"Carbon Analyst","carbon accounting,ghg protocol,scope 1,scope 2,scope 3,carbon footprint,net zero,carbon credits,offset,lifecycle assessment"
"Circular Economy Specialist","circular economy,waste reduction,product design,material flows,recycling,regenerative,take back,extended producer responsibility"
"Environmental Health Safety Manager","ehs,environmental health safety,osha,iso 14001,iso 45001,incident investigation,training,audit,compliance,regulatory"
"Climate Change Analyst","climate change,climate risk,scenario analysis,tcfd,carbon,adaptation,mitigation,policy,research,data analysis"
"Water Resource Engineer","water resources,hydrology,hydraulics,hec-ras,swmm,gis,flood modeling,groundwater,stormwater,permit,epa"
"Remediation Specialist","remediation,contaminated site,phase i,phase ii,groundwater,soil,in-situ,ex-situ,epa,regulatory,report writing"
"Waste Management Specialist","waste management,solid waste,hazardous waste,recycling,landfill,composting,regulatory,compliance,epa,reporting"
"Legislative Assistant","legislative,policy research,bill drafting,constituent services,government,stakeholder,analysis,communications,research"
"Grant Manager","grant management,federal grants,state grants,rfp,application,compliance,reporting,budget,monitoring,closeout,2 cfr 200"
"Public Information Officer","public information,communications,media relations,press release,social media,crisis communications,government,writing"
"City Planner","city planning,zoning,land use,entitlement,comprehensive plan,gis,community engagement,environmental review,permitting"
"Code Enforcement Officer","code enforcement,zoning,building code,inspection,citation,compliance,investigation,documentation,permit,legal"
"Elections Administrator","elections,voter registration,voting,ballot,polling place,election law,compliance,reporting,public communication"
"Transportation Planner","transportation planning,traffic,transit,bicycle,pedestrian,multimodal,travel demand model,gis,policy,community engagement"
"Digital Transformation Consultant","digital transformation,strategy,roadmap,cloud,data,automation,change management,stakeholder,erp,implementation"
"Process Improvement Consultant","process improvement,lean,six sigma,value stream mapping,kaizen,rpa,automation,kpi,change management,stakeholder"
"Organizational Design Consultant","organizational design,structure,spans and layers,role clarity,efficiency,change management,stakeholder,analysis"
"Supply Chain Consultant","supply chain consulting,operations,lean,six sigma,inventory,sourcing,logistics,erp,sap,data analysis,savings"
"Finance Transformation Consultant","finance transformation,fp&a,close optimization,shared services,erp,sap,oracle,automation,process improvement,kpi"
"Technology Strategy Consultant","technology strategy,digital,cloud,data,ai,roadmap,architecture,innovation,vendor selection,business case"
"Cyber Risk Consultant","cyber risk,risk assessment,maturity assessment,nist,iso 27001,penetration testing,red team,remediation,reporting"
"Healthcare Consulting Manager","healthcare consulting,strategy,operations,clinical,revenue cycle,ehr,change management,data analytics,stakeholder"
"Private Equity Operating Partner","private equity,portfolio operations,value creation,lean,six sigma,go to market,digital transformation,exit,board"
"Transaction Advisory Analyst","transaction advisory,financial due diligence,quality of earnings,excel,financial modeling,m&a,buy side,sell side"
"NFT Artist","nft,digital art,generative art,opensea,smart contract,ethereum,ipfs,photoshop,procreate,pixel art,3d,community"
"DAO Coordinator","dao,governance,voting,snapshot,discourse,multisig,gnosis safe,community,tokenomics,proposal,treasury management"
"Crypto Analyst","cryptocurrency,bitcoin,ethereum,defi,technical analysis,on-chain analytics,glassnode,dune analytics,nansen,research"
"Web3 Community Manager","web3,discord,twitter,community building,nft,dao,engagement,moderation,events,governance,holders,ambassador"
"DeFi Analyst","defi,yield farming,liquidity,tvl,protocol,uniswap,aave,compound,curve,tokenomics,risk,smart contract audit"
"Construction Technology Manager","construction technology,bim,procore,plangrid,autodesk,drones,lidar,reality capture,digital construction"
"Smart Building Engineer","smart building,iot,bms,building management system,hvac,lighting control,access control,integration,protocols,bacnet"
"Real Estate Technology Manager","proptech,crm,mls,yardi,appfolio,mri,digital marketing,data analytics,automation,process improvement"
"Actuarial Data Scientist","actuarial,machine learning,python,r,glm,gradient boosting,pricing,reserving,telematics,claims,portfolio analytics"
"Underwriting Analyst","underwriting,risk assessment,pricing,loss ratio,cat modeling,rms,air,excel,policy,premium,reinsurance"
"Claims Analyst","claims,investigation,settlement,reserve,litigation,negotiation,subro,fraud,analytics,sql,excel,reporting"
"E-Discovery Manager","e-discovery,ediscovery,relativity,nuix,review,processing,culling,production,litigation,legal hold,evidence"
"Legal Operations Manager","legal operations,clm,contract lifecycle management,billing,e-billing,budget,vendor management,metrics,technology"
"Legal Project Manager","legal project management,litigation,matter management,budget,timeline,stakeholder,process improvement,legal technology"
"Talent Agent","talent management,booking,contract negotiation,entertainment,film,tv,music,representation,pitch,deal making,clients"
"Entertainment Lawyer","entertainment law,film,music,tv,contracts,ip,licensing,royalties,talent,negotiation,deal structuring,guild"
"Music Licensing Manager","music licensing,sync,publishing,royalties,clearance,broadcast,film,tv,advertising,catalog,negotiations"
"Sports Agent","sports agent,contract negotiation,nba,nfl,mlb,nhl,endorsements,athlete representation,salary cap,marketing deals"
"Game Producer","game production,project management,agile,scrum,milestone,budget,scheduling,unity,unreal,team coordination,qa"
"Film Producer","film production,development,financing,budget,scheduling,post production,distribution,rights,talent,crew,deliverables"
"Casting Director","casting,auditions,actors,roles,creative vision,negotiation,director collaboration,database,avid,breakdown,union"
"Chief AI Officer","ai strategy,llm,generative ai,governance,ethics,responsible ai,roadmap,board,organizational change,talent,risk"
"Chief Data Officer","data strategy,data governance,data quality,data engineering,analytics,ml,privacy,compliance,board,leadership"
"Chief Digital Officer","digital transformation,strategy,digital products,innovation,technology,cloud,data,agile,change management,board"
"Chief Sustainability Officer","sustainability,esg,carbon,net zero,circular economy,supply chain,reporting,board,regulation,stakeholder"
"Head of AI","ai strategy,machine learning,llm,generative ai,roadmap,team leadership,research,product,ethics,governance,hiring"
"AI Ethics Researcher","ai ethics,responsible ai,bias,fairness,transparency,explainability,privacy,governance,policy,research,publications"
"Chief Revenue Officer","revenue,growth,sales,marketing,customer success,go-to-market,board,investor,strategy,team leadership,forecasting"
"Chief Customer Officer","customer experience,cx,customer success,nps,csat,retention,journey mapping,voice of customer,strategy,board"
"EdTech Product Manager","edtech,learning management,product strategy,k-12,higher education,student outcomes,accessibility,roadmap,a/b testing"
"Online Course Creator","online learning,instructional design,lms,articulate,camtasia,video production,curriculum,udemy,teachable,coursera"
"Learning Experience Designer","learning experience design,lxd,instructional design,ux,accessibility,lms,engagement,gamification,evaluation"
"Education Data Analyst","education analytics,student data,sql,tableau,power bi,assessment,outcomes,equity,reporting,policy,research"
"Digital Health Product Manager","digital health,healthtech,ehr,patient engagement,mobile health,mhealth,wearables,fda,hipaa,product roadmap"
"Telehealth Operations Manager","telehealth,virtual care,operations,scheduling,patient flow,technology,compliance,hipaa,staff,kpi,growth"
"Clinical Informatics Analyst","clinical informatics,ehr,epic,cerner,hl7,fhir,data,analytics,clinical decision support,workflow,training"
"Plastic Surgeon","plastic surgery,aesthetics,rhinoplasty,breast augmentation,liposuction,reconstruction,microsurgery,facelift,blepharoplasty"
"Dermatology NP","dermatology,nurse practitioner,skin,biopsy,cosmetic,laser,injectables,botox,filler,acne,psoriasis,prescribing,ehr"
"Medical Aesthetician","medical aesthetics,facials,chemical peels,microneedling,laser,skincare,consultation,retail,patient education,license"
"Aesthetic Nurse","aesthetic nursing,botox,fillers,prp,laser,kybella,patient consultation,facial anatomy,injections,safety,rn"
"Defense Systems Engineer","defense systems,mbse,sysml,requirements,integration,test,verification,mil-spec,dod,clearance,program management"
"Space Mission Analyst","space mission,orbital mechanics,astrodynamics,systems engineering,satellite,launch vehicle,stk,matlab,python"
"Radar Engineer","radar,rf,signal processing,matlab,python,doppler,sar,phased array,antenna,dsp,detection,tracking,electronic warfare"
"Electronic Warfare Engineer","electronic warfare,ew,radar,jamming,spoofing,signal processing,matlab,rf,spectrum,vhdl,verilog,clearance"
"Medical Scribe","medical scribe,documentation,ehr,epic,patient encounter,charting,physician support,icd-10,cpt,real time documentation"
"Prior Authorization Specialist","prior authorization,insurance,medical necessity,denial management,appeals,ehr,icd-10,cpt,compliance,communication"
"Medical Billing Specialist","medical billing,icd-10,cpt,hcpcs,claims,denial,appeals,ehr,clearinghouse,compliance,reimbursement,insurance"
"Patient Access Specialist","patient access,registration,insurance verification,prior auth,scheduling,ehr,hipaa,customer service,copay,referral"
"Home Health Nurse","home health,rn,nursing,patient care,wound care,iv therapy,documentation,oasis,ehr,medications,patient education"
"Travel Nurse","travel nursing,rn,icu,med surg,er,cath lab,crisis,contract,licensure,compact state,clinical skills,adaptability"
"Corporate Development Analyst","corporate development,m&a,deal sourcing,valuation,financial modeling,due diligence,integration,strategy,excel"
"Treasury Operations Specialist","treasury operations,cash management,bank reconciliation,wire transfers,erp,sap,bank portals,liquidity,forecasting"
"Financial Crimes Analyst","financial crimes,aml,bsa,kyc,transaction monitoring,sar,ofac,sanctions,correspondent banking,fincen,compliance"
"Commercial Banking Analyst","commercial banking,credit analysis,loan underwriting,financial statements,dcf,bloomberg,relationship management,portfolio"
"Mortgage Underwriter","mortgage underwriting,fnma,freddie mac,fha,va,credit analysis,dti,ltv,dti,appraisal,income,asset,compliance"
"Trade Compliance Analyst","trade compliance,import,export,customs,hs codes,incoterms,sanctions,denied parties,erp,sap,gts,documentation"
"Insurance Actuary","actuarial,pricing,reserving,ratemaking,loss development,mortality,morbidity,r,python,sas,glm,risk,capital,solvency"
"Shopper Marketing Manager","shopper marketing,retail,in-store,promotions,trade,channel,pos,category management,insights,execution"
"Growth Product Manager","growth,product led growth,plg,activation,engagement,retention,referral,monetization,a/b testing,sql,analytics"
"Customer Lifecycle Manager","customer lifecycle,email,sms,push,in-app,onboarding,activation,retention,churn,win-back,klaviyo,braze,iterable"
"Brand Partnerships Manager","brand partnerships,sponsorships,co-marketing,influencer,licensing,negotiation,contract,roi,events,activation"
"Research Director","market research,consumer insights,qual,quant,surveys,focus groups,ethnography,strategy,stakeholder,syndicated data"
"Due Diligence Analyst","due diligence,financial analysis,legal review,market analysis,technology assessment,risk,findings,report,m&a,pe"
"Interim CFO","interim cfo,financial leadership,fundraising,crisis management,restructuring,reporting,audit,gaap,board,investor"
"Fractional CMO","fractional cmo,marketing strategy,growth,demand generation,brand,team leadership,b2b,b2c,go-to-market,metrics"
"Sales Operations Manager","sales operations,crm,salesforce,forecasting,pipeline,reporting,enablement,quota,compensation,analytics,automation"
"Marketing Operations Analyst","marketing operations,hubspot,marketo,salesforce,attribution,data quality,reporting,automation,campaign management"
"Customer Experience Manager","customer experience,cx,journey mapping,voice of customer,nps,csat,ces,feedback,process improvement,cross functional"
"Pricing Manager","pricing strategy,pricing analytics,revenue management,price optimization,competition,elasticity,sql,excel,tableau,product"
"Vendor Manager","vendor management,contract management,sla,performance,risk,compliance,negotiation,rfi,rfp,relationship,cost"
"Partnership Manager","partnerships,business development,alliance,revenue,co-selling,enablement,negotiation,contract,crm,salesforce,go-to-market"
"Implementation Manager","implementation,onboarding,project management,customer success,saas,timeline,stakeholder,training,go live,crm"
"Customer Onboarding Manager","onboarding,customer success,saas,implementation,training,adoption,time to value,project management,crm,nps"
"API Product Manager","api,developer experience,dx,openapi,documentation,developer relations,sdk,integration,saas,platform,rest,graphql"
"Developer Relations Engineer","developer relations,devrel,developer experience,documentation,api,sdk,community,speaking,blog,open source,demos"
"Developer Advocate","developer advocacy,technical content,blog,tutorials,videos,api,sdk,community,public speaking,conferences,feedback"
"Technical Account Manager","technical account management,tam,customer success,api,integration,sql,saas,enterprise,stakeholder,escalation"
"Site Reliability Lead","sre,reliability,slo,error budget,incident management,on-call,postmortem,kubernetes,prometheus,grafana,python,go"
"Security Champion","security champion,secure coding,owasp,code review,threat modeling,developers,training,devsecops,shift left,awareness"
"Open Source Engineer","open source,github,contributions,community,documentation,code review,collaboration,apache,cncf,linux foundation"
"Technical Evangelist","technical evangelist,public speaking,conferences,blog,demos,product feedback,community,relationships,content,api"
"Observability Engineer","observability,monitoring,distributed tracing,logging,metrics,opentelemetry,datadog,grafana,prometheus,elk,jaeger"
"Platform Reliability Engineer","platform reliability,kubernetes,terraform,ci/cd,slo,incident management,monitoring,python,go,infrastructure"
"HOA Manager","hoa,homeowners association,community management,governing documents,covenant,board relations,vendor management,maintenance,budget,assessments,collections,compliance"
"Apartment Leasing Consultant","apartment leasing,residential,tours,applications,screening,lease signing,move in,renewals,crm,yardi,occupancy,retention"
"Real Estate Photographer","real estate photography,matterport,3d tour,drone,flamboyance,lightroom,wide angle,twilight,staging,delivery"
"Mortgage Loan Officer","mortgage,loan origination,fnma,freddie mac,fha,va,usda,nmls,underwriting,credit,pipeline,crm,compliance,closing"
"Title Examiner","title search,title examination,deed,lien,encumbrance,chain of title,closing,escrow,commitment,insurance,legal description"
"Real Estate Paralegal","real estate law,closing,title,deed,mortgage,lien,hud-1,alta,escrow,due diligence,contract review,legal research"
"Automotive Engineer","automotive engineering,cad,catia,solidworks,ansys,matlab,simulink,vehicle dynamics,powertrain,crash simulation,nvh,fmea,dfmea"
"EV Battery Engineer","electric vehicle,battery,bms,battery management system,lithium ion,cell,pack design,thermal management,soc,soh,can bus,matlab"
"Automotive Software Engineer","autosar,can bus,lin,flexray,embedded c,c++,misra,functional safety,iso 26262,matlab simulink,model based development"
"Car Salesperson","automotive sales,vehicle,financing,trade-in,crm,cdk,reynolds and reynolds,customer service,prospecting,test drive,negotiation"
"Auto Service Advisor","service advisor,automotive,repair orders,customer service,scheduling,upselling,warranty,labor time,repair estimates,cdk,advisor"
"Auto Mechanic","automotive mechanic,diagnostics,engine,transmission,brakes,suspension,electrical,hvac,oil change,obd2,dealer,independent shop"
"Automotive Body Technician","collision repair,frame straightening,body filler,paint,refinishing,estimate,insurance,i-car,certification,aluminum repair"
"Fleet Coordinator","fleet management,vehicles,scheduling,maintenance,fuel,driver management,gps tracking,compliance,dot,insurance,reporting"
"Automotive Product Manager","automotive,product management,feature definition,oem,tier 1,requirements,roadmap,stakeholder,agile,go-to-market,competitive"
"Aircraft Maintenance Engineer","aircraft maintenance,avionics,structures,powerplant,airframe,part 147,part 145,easa,faa,camo,line maintenance,base maintenance"
"Flight Operations Manager","flight operations,flight planning,dispatch,crew management,ops specs,faa,icao,safety management system,sms,crm,occ"
"Aviation Safety Manager","aviation safety,sms,safety management system,hazard identification,risk assessment,investigation,reporting,icao,faa,is-bao"
"Avionics Technician","avionics,navigation,communication,autopilot,fms,instruments,wiring,troubleshooting,faa,part 65,repair,installation"
"Airport Operations Manager","airport operations,airside,landside,security,safety,coordination,airlines,fbo,permits,emergency response,sop,compliance"
"Airline Revenue Manager","airline revenue management,pricing,yield management,demand forecast,gds,sabre,amadeus,overbooking,allotment,partnerships"
"Marine Engineer","marine engineering,propulsion,diesel engines,maintenance,sea going,vessel,class survey,dnv,bv,classification,watchkeeping"
"Port Operations Manager","port operations,stevedoring,vessel,cargo,container,crane,terminal,teu,berth,safety,compliance,imo"
"Maritime Lawyer","maritime law,admiralty,cargo claims,collision,salvage,limitation,p&i club,charterparty,bill of lading,arbitration"
"Customs Officer","customs,import,export,clearance,tariff,hs code,inspection,compliance,cbp,documentation,bond,valuation,seizure"
"Metallurgist","metallurgy,process metallurgy,comminution,flotation,leaching,smelting,refining,mineralogy,laboratory,plant optimization"
"Drilling Engineer","drilling,wellbore,mud,casing,cementing,bit selection,rig,bop,well planning,drilling program,completion,well control"
"Mine Planner","mine planning,pit optimization,underground,blast design,schedule,resource,reserve,surpac,vulcan,deswik,whittle,autocad"
"Reservoir Engineer","reservoir engineering,simulation,eclipse,petrel,fluid flow,material balance,decline curve,history matching,reservoir model"
"HSE Officer","health safety environment,hse,risk assessment,incident investigation,safety induction,permit to work,ppe,osha,iso 45001,loto"
"Petroleum Geologist","petroleum geology,seismic interpretation,petrel,kingdom,gis,trap,reservoir,source rock,exploration,well log analysis"
