"Job_Title","Skills"
"Seismologist","seismology earthquake seismic network waveform analysis matlab python gis real-time monitoring"
"Paleontologist","paleontology fossil excavation taxonomy morphology gis museum collections publications fieldwork"
"Forensic Scientist","forensic science crime scene dna toxicology fingerprint ballistics chain of custody court lab"
"Medical Examiner","forensic pathology autopsy cause of death toxicology histology report writing court testimony"
"Field Service Engineer","field service installation maintenance troubleshooting customer site technical support sla crm"
"IT Project Manager","it project management agile waterfall scope budget risk stakeholder jira ms project vendor"
"Service Desk Manager","service desk itsm itil sla kpi ticketing servicenow team management first call resolution escalation"
"IT Trainer","it training end user microsoft 365 windows office lms instructional design facilitation assessment"
"Computer Lab Technician","computer lab hardware software imaging deployment troubleshooting windows networking ticketing asset"
"Sports Photographer","sports photography action telephoto autofocus burst lightroom photoshop editing deadline accreditation"
"Wildlife Photographer","wildlife photography telephoto field craft natural light lightroom photoshop publication conservation"
"Documentary Filmmaker","documentary storytelling research interviewing cinematography directing editing premiere pro distribution"
"Photo Editor","photo editing lightroom photoshop capture one retouching color correction art direction archive"
"Literacy Coach","literacy reading writing coaching assessment curriculum professional development data driven k-12"
"STEM Coordinator","stem science technology engineering curriculum project based learning maker space robotics coding k-12"
"Guidance Counselor","guidance counseling college prep career social emotional students at risk iep 504 crisis reporting"
"Relationship Manager","relationship management crm client retention cross-sell banking wealth portfolio service kpi referrals"
"Bank Teller","banking cash handling transactions deposits withdrawals customer service compliance kyc fraud balancing"
"Branch Manager","branch management banking sales customer service compliance team leadership kpi lending deposits"
"Credit Officer","credit underwriting financial analysis loan risk assessment credit policy covenant watchlist reporting"
"Loan Processor","loan processing mortgage documentation file review compliance scheduling closing title conditions fnma"
"Insurance Agent","insurance sales life health auto home crm prospecting referrals compliance policy"
"Real Estate Sales Associate","real estate sales buyer seller listing negotiation mls crm showing open house contract commission"
"Pharmaceutical Sales Representative","pharma sales detailing hcp physician hospital territory product knowledge crm veeva samples compliance"
"Medical Device Sales","medical device sales hospital surgeon clinical territory demonstration contract gpo crm compliance"
"Retail Store Manager","retail management store operations inventory staff customer service kpi loss prevention scheduling"
"Technical Translator","technical translation localization cat tools trados memoq terminology engineering legal quality"
"Sign Language Interpreter","sign language asl bsl interpreting deaf hard of hearing consecutive simultaneous certification rid"
"Foreign Language Teacher","language teaching foreign language curriculum lesson planning assessment conversational grammar culture"
"Curriculum Writer","curriculum writing content development learning objectives standards alignment instructional design"
"Podcast Advertising Manager","podcast advertising host read programmatic spotify acast impressions cpm attribution roi"
"OTT/CTV Advertising Specialist","ott ctv connected tv streaming advertising programmatic roku amazon fire ttd dv360 attribution"
"Retail Media Manager","retail media amazon advertising walmart connect instacart sponsored products dsp attribution roas"
"Search Engine Marketing Lead","sem google ads microsoft ads ppc search advertising bidding quality score ad copy landing page roas"
"Job Analyst","job analysis job description job evaluation competency skills framework compensation classification hay"
"HR Consultant","hr consulting hr strategy hr transformation policy compliance talent compensation employee relations"
"Recruiter Executive Search","executive search headhunting c-suite board vp director sourcing candidate assessment offer negotiation"
"Volunteer Coordinator","volunteer management recruitment training scheduling recognition database coordination events community"
"Donor Relations Officer","donor relations major gifts stewardship gift acknowledgment donor database planned giving annual fund"
"Program Evaluator","program evaluation logic model theory of change data collection surveys analysis reporting stakeholder"
